1520527958474741167,-0.100754,0.0516752,0.0603922,0.9301,0.471091,9.80068
1520527958475741184,-0.101695,0.0486811,0.0611251,0.923811,0.464581,9.78997
1520527958476741120,-0.102419,0.0457933,0.0617784,0.918084,0.458931,9.77962
1520527958477741056,-0.102942,0.0430179,0.0623575,0.912918,0.454143,9.76962
1520527958478740992,-0.103282,0.0403615,0.0628672,0.908315,0.450214,9.75997
1520527958479740928,-0.103453,0.0378305,0.0633125,0.904273,0.447147,9.75068
1520527958480740864,-0.103472,0.0354313,0.0636985,0.900791,0.444939,9.74173
1520527958481740800,-0.103355,0.0331705,0.0640301,0.89787,0.443592,9.73314
1520527958482740736,-0.103117,0.0310544,0.0643124,0.895507,0.443105,9.7249
1520527958483740672,-0.102775,0.0290895,0.0645503,0.893701,0.443478,9.71702
1520527958484740608,-0.102344,0.0272824,0.0647487,0.892448,0.444713,9.70949
1520527958485740544,-0.101838,0.0256365,0.0649135,0.89139,0.445957,9.70201
1520527958486740480,-0.101258,0.0241437,0.065054,0.890163,0.446358,9.69429
1520527958487740416,-0.100603,0.0227932,0.0651799,0.888769,0.445918,9.68632
1520527958488740352,-0.0998702,0.0215737,0.0653015,0.887205,0.444634,9.67809
1520527958489740288,-0.0990596,0.0204743,0.0654286,0.885472,0.442509,9.66962
1520527958490740224,-0.0981693,0.0194841,0.0655713,0.88357,0.439541,9.6609
1520527958491740160,-0.097198,0.0185919,0.0657395,0.881498,0.43573,9.65193
1520527958492740096,-0.0961443,0.0177868,0.0659432,0.879256,0.431079,9.64271
1520527958493740032,-0.0950068,0.0170577,0.0661923,0.876843,0.425587,9.63324
1520527958494739968,-0.093784,0.0163937,0.0664969,0.874261,0.419255,9.62352
1520527958495739904,-0.0924747,0.0157828,0.0668615,0.871324,0.41288,9.61418
1520527958496739840,-0.0910779,0.0152103,0.0672691,0.867849,0.407262,9.60584
1520527958497739776,-0.0895927,0.0146603,0.0676972,0.863834,0.402402,9.59851
1520527958498739712,-0.0880183,0.0141172,0.0681234,0.859281,0.398301,9.59218
